formatted_address,geometry,place_id,plus_code,types,Lat/Long
"606 106th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.6162639, 'lng': -122.1980537}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6176564302915, 'lng': -122.1967034197085}, 'southwest': {'lat': 47.6149584697085, 'lng': -122.1994013802915}}}",ChIJ_afC54hskFQRwVVqIeP5EeE,"{'compound_code': 'JR82+GQ Bellevue, WA', 'global_code': '84VVJR82+GQ'}",['street_address'],"(47.6162639,-122.1980537)"
"100 112th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6112931, 'lng': -122.1896872}, 'southwest': {'lat': 47.61047600000001, 'lng': -122.1902054}}, 'location': {'lat': 47.6108553, 'lng': -122.1899022}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6122335302915, 'lng': -122.1885973197085}, 'southwest': {'lat': 47.6095355697085, 'lng': -122.1912952802915}}}",ChIJt9NydWNskFQRnYmDXSVpBPE,,['premise'],"(47.6108553,-122.1899022)"
"10112 NE 10th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.61976139999999, 'lng': -122.2051721}, 'southwest': {'lat': 47.61941909999999, 'lng': -122.2054741}}, 'location': {'lat': 47.6196322, 'lng': -122.2052916}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.62093923029149, 'lng': -122.2039219197085}, 'southwest': {'lat': 47.61824126970849, 'lng': -122.2066198802915}}}",ChIJ1-JU849skFQR7hoVy_r2M0c,,['premise'],"(47.6196322,-122.2052916)"
"Parking lot, 10621 NE 12th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.621007, 'lng': -122.1976119}, 'southwest': {'lat': 47.6204929, 'lng': -122.1980977}}, 'location': {'lat': 47.6207065, 'lng': -122.1977729}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6220989302915, 'lng': -122.1964569197085}, 'southwest': {'lat': 47.6194009697085, 'lng': -122.1991548802915}}}",ChIJpfOC1Y1skFQRgYh0HZ5xDqU,,['premise'],"(47.6207065,-122.1977729)"
"200 105th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.6122057, 'lng': -122.1997762}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61357658029151, 'lng': -122.1985581697085}, 'southwest': {'lat': 47.61087861970852, 'lng': -122.2012561302915}}}",ChIJUwDfjodskFQRphEbPbQyELY,"{'compound_code': 'JR62+V3 Bellevue, WA', 'global_code': '84VVJR62+V3'}",['street_address'],"(47.6122057,-122.1997762)"
"Parking lot, 10116 NE 8th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.619001, 'lng': -122.2047229}, 'southwest': {'lat': 47.6178757, 'lng': -122.2059784}}, 'location': {'lat': 47.6185457, 'lng': -122.2056187}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6197873302915, 'lng': -122.2040475697085}, 'southwest': {'lat': 47.6170893697085, 'lng': -122.2067455302915}}}",ChIJIZZMeIVskFQRrUuuInMqIqA,,['premise'],"(47.6185457,-122.2056187)"
"201 Bellevue Way NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.612827, 'lng': -122.2018946}, 'southwest': {'lat': 47.6120688, 'lng': -122.2023565}}, 'location': {'lat': 47.6124844, 'lng': -122.202168}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6137968802915, 'lng': -122.2007656697085}, 'southwest': {'lat': 47.6110989197085, 'lng': -122.2034636302915}}}",ChIJEUNDC4dskFQRri-DPrxB9h0,,['premise'],"(47.6124844,-122.202168)"
"11027 NE 4th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6135233, 'lng': -122.1924735}, 'southwest': {'lat': 47.613357, 'lng': -122.1928975}}, 'location': {'lat': 47.6134666, 'lng': -122.1927599}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6147891302915, 'lng': -122.1912570197085}, 'southwest': {'lat': 47.6120911697085, 'lng': -122.1939549802915}}}",ChIJ-2tfe2JskFQRluBg8GRJyLM,,['premise'],"(47.6134666,-122.1927599)"
"10350 NE 10th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6196122, 'lng': -122.201887}, 'southwest': {'lat': 47.6193646, 'lng': -122.2021764}}, 'location': {'lat': 47.6194723, 'lng': -122.2019821}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6208373802915, 'lng': -122.2007212697085}, 'southwest': {'lat': 47.6181394197085, 'lng': -122.2034192302915}}}",ChIJ3XXqqI9skFQRyyzhrBODtzg,,['premise'],"(47.6194723,-122.2019821)"
"108th Pl NE, Bellevue, WA, USA","{'bounds': {'northeast': {'lat': 47.64296960000003, 'lng': -122.195356}, 'southwest': {'lat': 47.64156329999997, 'lng': -122.1960899}}, 'location': {'lat': 47.6423128, 'lng': -122.1958323}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6436154302915, 'lng': -122.1943739697085}, 'southwest': {'lat': 47.6409174697085, 'lng': -122.1970719302915}}}",Eh4xMDh0aCBQbCBORSwgQmVsbGV2dWUsIFdBLCBVU0EiLiosChQKEglX-88z1GyQVBEXSpLRiDCTvhIUChIJQWCmo89rkFQRZQfQ6oJUz7o,,['route'],"(47.6423128,-122.1958323)"
